Embryo,Genotype,Background,Microphthalmia,Anophthalmia,Side_if_Microphthalmia_or_anophthalmia,Spina_Bifida,Curly_Tail,Other_Tail_Abnormalities,HPE,Anterior_Truncation,Smooth_Pointed_Philtrum,Mild_Pointed_Philtrum,Exencephaly,Cyclopia,Stage
211217_Ku_C3H_75_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
211217_Ku_C3H_89_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
211217_Ku_C3H_89_e5_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,1
211219_Ku_C3H_56_e3_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,1
211219_Ku_C3H_57_e2_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,1
211219_Ku_C3H_57_e3_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,1
220311_C3H_Ku_79_e1_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,1
220311_C3H_Ku_79_e2_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,1
220311_C3H_Ku_79_e4_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,1
220313_C3H_Ku_69_e6_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
220313_C3H_Ku_82_e5_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
220314_C3H_Ku_68_e1_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
220314_C3H_Ku_86_e6_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
220319_C3H_Ku_67_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
220319_C3H_Ku_67_e5_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
220319_C3H_Ku_67_e6_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
220319_C3H_Ku_70_e1_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,1
220319_C3H_Ku_70_e2_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,1
220319_C3H_Ku_70_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
